,user_id,item_id,rating
0,271.0,480.0,4.0
1,249.0,456.0,3.0
2,833.0,381.0,4.0
3,579.0,582.0,4.0
4,790.0,63.0,2.0
5,269.0,483.0,4.0
6,567.0,173.0,4.0
7,327.0,87.0,3.0
8,424.0,100.0,5.0
9,605.0,462.0,5.0
10,457.0,509.0,4.0
11,363.0,172.0,5.0
12,92.0,11.0,4.0
13,880.0,177.0,5.0
14,130.0,300.0,5.0
15,488.0,197.0,2.0
16,401.0,632.0,4.0
17,582.0,50.0,5.0
18,370.0,31.0,3.0
19,151.0,402.0,3.0
20,403.0,100.0,5.0
21,343.0,324.0,5.0
22,13.0,508.0,3.0
23,567.0,124.0,4.0
24,16.0,134.0,4.0
25,463.0,221.0,5.0
26,790.0,959.0,3.0
27,908.0,648.0,4.0
28,579.0,331.0,3.0
29,548.0,525.0,5.0
30,943.0,581.0,4.0
31,284.0,300.0,3.0
32,301.0,357.0,5.0
33,141.0,323.0,4.0
34,502.0,270.0,2.0
35,496.0,721.0,5.0
36,64.0,969.0,3.0
37,463.0,275.0,5.0
38,405.0,69.0,4.0
39,796.0,54.0,4.0
40,23.0,204.0,3.0
41,45.0,476.0,3.0
42,76.0,513.0,5.0
43,178.0,873.0,3.0
44,457.0,94.0,3.0
45,853.0,270.0,4.0
46,385.0,231.0,2.0
47,642.0,15.0,5.0
48,795.0,1555.0,3.0
49,43.0,956.0,1.0
50,901.0,447.0,3.0
51,896.0,310.0,4.0
52,805.0,331.0,4.0
53,286.0,47.0,4.0
54,899.0,428.0,4.0
55,508.0,181.0,3.0
56,311.0,231.0,4.0
57,232.0,194.0,4.0
58,358.0,512.0,5.0
59,365.0,316.0,4.0
60,919.0,31.0,3.0
61,627.0,1478.0,3.0
62,170.0,328.0,3.0
63,533.0,172.0,4.0
64,77.0,127.0,2.0
65,470.0,276.0,5.0
66,270.0,222.0,5.0
67,545.0,450.0,2.0
68,509.0,309.0,2.0
69,406.0,515.0,2.0
70,297.0,326.0,2.0
71,514.0,116.0,4.0
72,457.0,241.0,3.0
73,49.0,588.0,4.0
74,158.0,530.0,4.0
75,671.0,5.0,2.0
76,836.0,89.0,4.0
77,49.0,53.0,4.0
78,497.0,118.0,4.0
